1001,4513,added,2009-10-07 12:48:05.502059,"",,a.billow
1002,4513,workflow,2009-10-07 12:48:05.540704,Create :  [ transition from new to draft motion ],,a.billow
1003,4513,modified,2009-10-07 12:48:05.542513,"",,a.billow
1004,4514,added,2009-10-07 12:49:02.688382,"",,a.billow
1005,4514,workflow,2009-10-07 12:49:02.720065,Create :  [ transition from new to draft motion ],,a.billow
1006,4514,modified,2009-10-07 12:49:02.721544,"",,a.billow
1007,4515,added,2009-10-07 12:50:29.528105,"",,a.billow
1008,4515,workflow,2009-10-07 12:50:29.558983,Create :  [ transition from new to draft motion ],,a.billow
1009,4515,modified,2009-10-07 12:50:29.560474,"",,a.billow
1010,4516,added,2009-10-07 12:51:13.909553,"",,a.billow
1011,4516,workflow,2009-10-07 12:51:13.93916,Create :  [ transition from new to draft motion ],,a.billow
1012,4516,modified,2009-10-07 12:51:13.940644,"",,a.billow
1013,4517,added,2009-10-07 12:55:44.778135,"",,j.burua
1014,4517,workflow,2009-10-07 12:55:44.80759,Create :  [ transition from new to draft motion ],,j.burua
1015,4517,modified,2009-10-07 12:55:44.809083,"",,j.burua
1016,4518,added,2009-10-07 12:56:32.133109,"",,j.burua
1017,4518,workflow,2009-10-07 12:56:32.164286,Create :  [ transition from new to draft motion ],,j.burua
1018,4518,modified,2009-10-07 12:56:32.165788,"",,j.burua
1019,4519,added,2009-10-07 12:57:13.744382,"",,j.burua
1020,4519,workflow,2009-10-07 12:57:13.772936,Create :  [ transition from new to draft motion ],,j.burua
1021,4519,modified,2009-10-07 12:57:13.774393,"",,j.burua
1022,4520,added,2009-10-07 12:58:38.294675,"",,j.burua
1023,4520,workflow,2009-10-07 12:58:38.327107,Create :  [ transition from new to draft motion ],,j.burua
1024,4520,modified,2009-10-07 12:58:38.32863,"",,j.burua
1025,4521,added,2009-10-07 13:03:07.522134,"",,d.gemom
1026,4521,workflow,2009-10-07 13:03:07.557264,Create :  [ transition from new to draft motion ],,d.gemom
1027,4521,modified,2009-10-07 13:03:07.558746,"",,d.gemom
1028,4522,added,2009-10-07 13:03:36.107092,"",,d.gemom
1029,4522,workflow,2009-10-07 13:03:36.141105,Create :  [ transition from new to draft motion ],,d.gemom
1030,4522,modified,2009-10-07 13:03:36.142606,"",,d.gemom
1031,4523,added,2009-10-07 13:04:00.310609,"",,d.gemom
1032,4523,workflow,2009-10-07 13:04:00.356075,Create :  [ transition from new to draft motion ],,d.gemom
1033,4523,modified,2009-10-07 13:04:00.357643,"",,d.gemom
1034,4524,added,2009-10-07 13:04:43.424184,"",,d.gemom
1035,4524,workflow,2009-10-07 13:04:43.471915,Create :  [ transition from new to draft motion ],,d.gemom
1036,4524,modified,2009-10-07 13:04:43.473434,"",,d.gemom
