1011,,,,O,O,,,128
1012,,,,O,O,,,129
1013,,,,P,W,,,136
1014,,,,P,W,,,129
1015,,,,P,O,,,139
1016,,,,O,O,,,140
1017,,,,O,O,,,136
1018,,,,O,O,,,126
1019,,,,P,W,,,142
1020,,,,O,W,,,138
1021,,,,P,W,,,
2003,,,,O,O,,,31
2004,,,,O,O,,,46
2148,,,,O,W,,,80
2149,,,,P,W,,,80
2007,,,,O,O,,,39
2008,,,,O,O,,,34
2009,,,,P,O,,,32
2010,,,,O,O,,,33
2011,,,,O,O,,,32
2012,,,,P,O,,,39
2014,,,,O,O,,,37
2015,,,,P,O,,,122
2016,,,,P,O,,,110
2017,,,,O,O,,,93
2018,,,,O,O,,,77
2019,,,,O,O,,,32
2020,,,,O,O,,,35
2023,,,,O,O,,,77
2024,,,,O,O,,,74
2025,,,,P,O,,,76
2026,,,,O,O,,,76
2027,,,,O,O,,,110
2028,,,,O,O,,,106
2029,,,,O,O,,,103
2030,,,,O,O,,,33
2032,,,,O,O,,,140
2033,,,,O,O,,,138
2034,,,,O,O,,,139
2035,,,,O,O,,,122
2036,,,,O,O,,,32
2037,,,,O,O,,,97
2001,,,,O,O,,,37
2005,,,,P,O,,,39
2006,,,,O,O,,,47
2002,,,,O,O,,,41
2041,,,,O,O,,,47
2042,,,,O,O,,,137
2043,,,,O,O,,,122
2044,,,,P,O,,,140
2045,,,,P,O,,,122
2046,,,,O,O,,,106
2047,,,,P,O,,,80
2048,,,,P,O,,,71
2049,,,,P,O,,,32
2050,,,,O,O,,,34
2051,,,,O,O,,,45
2052,,,,O,O,,,45
2053,,,,O,O,,,46
2054,,,,O,O,,,77
2055,,,,O,O,,,39
2056,,,,O,O,,,47
2057,,,,P,O,,,71
2058,,,,O,O,,,75
2059,,,,P,O,,,77
2060,,,,O,O,,,78
2061,,,,P,O,,,40
2062,,,,O,O,,,35
2063,,,,O,O,,,33
2064,,,,P,O,,,32
2065,,,,O,O,,,32
2066,,,,P,O,,,35
2067,,,,O,O,,,39
2068,,,,P,O,,,139
2069,,,,O,O,,,93
2070,,,,P,O,,,92
2071,,,,O,O,,,95
2072,,,,O,O,,,61
2077,,,,P,O,,,40
2078,,,,P,O,,,48
2079,,,,O,O,,,72
2080,,,,O,O,,,68
2081,,,,P,O,,,47
2082,,,,O,O,,,124
2083,,,,O,O,,,121
2084,,,,O,O,,,99
2074,,,,P,W,,,45
2075,,,,P,W,,,38
2073,,,,P,O,,,33
2076,,,,P,O,,,74
2085,,,,O,W,,,45
2086,,,,P,W,,,48
2087,,,,O,W,,,68
2088,,,,P,W,,,74
2089,,,,P,W,,,67
2090,,,,P,W,,,38
2091,,,,P,W,,,33
2092,,,,P,W,,,78
2093,,,,O,W,,,79
2094,,,,P,W,,,103
2095,,,,P,W,,,122
2096,,,,P,W,,,126
2097,,,,P,W,,,129
2098,,,,P,W,,,129
2099,,,,P,W,,,125
2100,,,,P,W,,,141
2101,,,,O,W,,,31
2102,,,,P,W,,,32
2103,,,,P,W,,,37
2104,,,,O,W,,,46
2105,,,,O,W,,,72
2106,,,,O,W,,,76
2107,,,,P,W,,,79
2108,,,,O,W,,,74
2109,,,,P,W,,,72
2110,,,,O,W,,,46
2111,,,,P,W,,,41
2112,,,,O,W,,,35
2113,,,,O,W,,,39
2114,,,,O,W,,,61
2115,,,,P,W,,,46
2116,,,,O,W,,,44
2117,,,,O,W,,,46
2118,,,,P,W,,,45
2119,,,,O,W,,,38
2120,,,,P,W,,,48
2121,,,,P,W,,,43
2122,,,,P,W,,,39
2123,,,,P,W,,,77
2124,,,,O,W,,,76
2125,,,,P,W,,,38
2126,,,,P,W,,,40
2127,,,,P,W,,,47
2128,,,,P,W,,,73
2129,,,,P,W,,,68
2130,,,,P,W,,,78
2131,,,,O,W,,,110
2132,,,,P,W,,,77
2133,,,,P,W,,,38
2134,,,,P,W,,,77
2135,,,,P,W,,,48
2136,,,,P,W,,,43
2137,,,,P,W,,,45
2138,,,,P,W,,,47
2139,,,,O,W,,,38
2140,,,,P,W,,,35
2141,,,,O,W,,,35
2142,,,,P,W,,,32
2143,,,,O,W,,,38
2144,,,,P,W,,,32
2145,,,,P,W,,,32
2146,,,,O,W,,,93
2147,,,,P,W,,,75
2150,,,,O,W,,,92
2151,,,,P,W,,,78
2152,,,,O,W,,,93
2153,,,,O,W,,,36
2154,,,,O,W,,,34
2155,,,,O,W,,,37
2156,,,,O,W,,,32
2157,,,,P,W,,,47
2158,,,,O,W,,,36
2159,,,,O,W,,,44
2160,,,,P,W,,,46
2161,,,,P,W,,,48
2162,,,,O,W,,,39
2163,,,,P,W,,,47
4011,,,,P,W,,,
2013,1,2009-09-28,,O,O,,,44
4012,,,,P,W,,,
4013,,,,O,W,,,128
4014,,,,P,W,,,
4015,,,,O,W,,,138
4016,,,,P,O,,,138
4017,,,,O,O,,,128
4018,,,,O,W,,,138
4019,,,,O,O,,,140
4020,,,,O,W,,,128
4021,,,,P,O,,,135
4022,,,,O,O,,,142
4023,,,,O,W,,,128
4024,,,,O,O,,,129
4025,,,,P,O,,,134
4026,,,,O,O,,,134
4027,,,,P,O,,,129
4028,,,,P,W,,,139
4029,,,,P,O,,,128
4030,,,,P,W,,,125
4031,,,,O,W,,,129
4032,,,,P,W,,,126
4038,,,,P,O,,,139
4039,2,2009-09-28,,P,O,,,
4107,,,,P,W,,,
4108,3,2009-10-01,,P,W,,,
