4068,9,1,en,Water metering and charging review,,"<strong>Summary Agenda</strong><br><br>9.30 am<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Private Members’ Bills.<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>(Note: If proceedings on the first Bill end before 2.30 pm, the second Bill and, possibly, subsequent Bills may be debated in the time remaining. After 2.30 pm, only those Bills which are unopposed may make further progress.)<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Water metering and charging review (Linda Gilroy) (until 3.00 pm or for half an hour, whichever is later).",,draft,,t,agendaitem
4069,9,1,en,Asbestos in homes,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the Secretary of State for Work and Pensions, including at 3.15 pm Topical Questions.<br>3.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions, Ministerial Statements, including on Building Britain’s Future.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Parliamentary Standards Bill: Second Reading (may continue until 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>—followed by Programme Motion (without separate debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>—followed by Money Resolution (without separate debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Statutory Instruments (Motions for approval) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Legislative Reform Order (Motion for approval) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Motions to change the membership of Select Committees: Children, Schools and Families; Regulatory Reform; Work and Pensions (no debate after 10.00 pm).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Asbestos in homes (Mr Michael Clapham) (until 10.30 pm or for half an hour, whichever is later).",,draft,,t,agendaitem
4071,9,1,en,Lessons to be learned from the MSC Napoli incident,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the Secretary of State for Health, including at 3.15 pm Topical Questions.<br>3.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions (if any); Ministerial Statements, including on the UK’s strategy for countering international terrorism.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Pension Credit and Personal Expense Allowance (Duty of Consultation and Review)—Motion for leave to introduce a Bill under the Ten minute rule (Mr Paul Burstow) (for up to 20 minutes).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Coroners and Justice Bill: Report Stage (second day) and Third Reading (may continue until 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Statutory Instruments (Motions for approval) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>European Union Documents (Motion) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Legislative Reform Order (Motion for approval) (without debate).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Lessons to be learned from the MSC Napoli incident (Mr Hugo Swire) (until 10.30 pm or for half an hour, whichever is later).",,draft,,t,agendaitem
4070,9,1,en,Government programmes to assist people facing repossession and mortgage arrears ,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the Secretary of State for Foreign and Commonwealth Affairs, including at 3.15 pm Topical Questions.<br>3.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions (if any); Ministerial Statements, including on 21st century schools.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Hydrofluorocarbons Limitation—Motion for leave to introduce a Bill under the Ten minute rule (Clive Efford) (for up to 20 minutes).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Parliamentary Standards Bill: Committee (first day) (may continue until 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Statutory Instruments (Motions for approval) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Legislative Reform Order (Motion for approval) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>European Union Document (Motion) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Adjournment (Summer) (Motion) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Notices of Questions etc. during September 2009 (Motion) (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Estimates (Motion) (without debate).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Standards Board for England (Mr Ian Liddell-Grainger) (until 10.30 pm or for half an hour, whichever is later).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br><strong>Sitting in Westminster Hall</strong><br>&nbsp; &nbsp;&nbsp;&nbsp; <br>General Debates:<br>9.30 am<br>&nbsp;&nbsp;&nbsp; <br>Government programmes to assist people facing repossession and mortgage arrears (Dr Vincent Cable).<br>11.00 am<br>&nbsp;&nbsp;&nbsp; <br>Future of the Forensic Science Service (Mr Lindsay Hoyle).<br>12.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Proposals for a strategic development area north and north east of Hedge End (Chris Huhne).<br>1.00 pm<br>&nbsp;&nbsp;&nbsp; <br>Charges for oxygen by airlines (Nick Ainger).<br>1.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Planning consideration for wind farms in Northamptonshire (Mr Philip Hollobone) (until 2.00 pm).",,draft,,t,agendaitem
4074,9,1,en,Membership of a Select Committee,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the Secretary of State for Defence, including at 3.15 pm Topical Questions.<br>3.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions, Ministerial Statements (if any).<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Africa (Motion) (may continue until 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Interleaving of Bills and Explanatory Notes (Motion) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Business of the House (Motion) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Statutory Instrument (Motion for approval)<br>(without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Motion to change the membership of a Select Committee: Administration (no debate after 10.00 pm).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Memorial for tsunami victims (Mr Phil Willis) (until 10.30 pm or for half an hour, whichever is later).&nbsp;",,draft,,t,agendaitem
4076,9,417,en,Consultations on Post Office closures,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions, Ministerial Statements (if any).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Business of the House (Motion) (may continue until 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Speaker’s Committee on the Search of Offices on the Parliamentary Estate (Motion) (may continue for three hours after the commencement of proceedings on the Business of the House Motion, if that Motion is agreed to).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Queen’s Speech (Motion for an Address) (proposed subjects for debate: Employment, Universities and Skills and Housing) (may continue until 11.00 pm, if the 10.00 pm Business Motion is agreed to).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Estimates (Motion) (without debate).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Consultations on Post Office closures (Dr Richard Taylor) (until 10.30 pm or for half an hour, whichever is later).&nbsp;",,draft,,t,agendaitem
4077,9,417,en,Teaching of life skills to 11 to 16 year olds and the national curriculum,,"<strong>Summary Agenda</strong><br><br>2.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Motion for Unopposed Return (without debate).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Oral Questions to the Secretary of State for Justice, including at 3.15 pm Topical Questions.<br>3.30 pm<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions, Ministerial Statements (if any).<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>European Affairs (Motion) (may continue until 10.00pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Corporation Tax Bill (Motion) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Delegated Legislation (Motions to refer) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Section 5 of the European Communities (Amendment) Act 1993 (Motion) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Business of the House (Motion) (no debate after 10.00 pm).<br>&nbsp; &nbsp;&nbsp;&nbsp; <br>Business of the House (Consolidated Fund Bill) (Motion) (no debate after 10.00 pm).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Teaching of life skills to 11 to 16 year olds and the national curriculum (Mr Graham Allen) (until 10.30 pm or for half an hour, whichever is later).<br><br>",,draft,,t,agendaitem
4079,9,417,en,Closure of outpatients’ facilities in Rushden,,"<strong>Summary Agenda</strong><br><br>10.30 am<br>&nbsp;&nbsp;&nbsp; <br>Prayers.<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the Minister of State for Business, Enterprise and Regulatory Reform, including at 11.05 am Topical Questions.<br>11.15 am<br>&nbsp;&nbsp;&nbsp; <br>Oral Questions to the honourable Member representing the Church Commissioners, to the Chairman of the Public Accounts Commission and to the honourable Member representing the Speaker’s Committee on the Electoral Commission.<br>11.30 am<br>&nbsp;&nbsp;&nbsp; <br>Urgent Questions (if any); Business Question to the Leader of the House; Ministerial Statements<br>(if any).<br>Afterwards<br>&nbsp;&nbsp;&nbsp; <br>Queen’s Speech (Motion for an Address) (proposed subjects for debate: Health and Education) (may continue until 6.00 pm).<br>At the end of the sitting<br>&nbsp;&nbsp;&nbsp; <br>Adjournment Debate: Closure of outpatients’ facilities in Rushden (Mr Peter Bone) (until 6.30 pm or for half an hour, whichever is later).",,draft,,t,agendaitem
4084,9,417,en,Government policy on hydrogen technology,,"2.30 p.m.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Prayers.<br><br>Afterwards&nbsp;&nbsp;&nbsp; Oral Questions to the Secretary of State for the Home Department.<br><br>3.30 p.m.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Urgent Questions, Ministerial Statements (if any).<br><br>Afterwards&nbsp;&nbsp;&nbsp; Sir Michael John Austin Cummins (Motion ) (may continue until 10.00 p.m.).<br><br>Identity Cards Bill: Second Reading (may continue until 10.00 p.m.).<br><ul>
<li>followed by Programme Motion (without debate).</li>
<li>followed by Money Resolution (without debate).</li>
<li>followed by Ways and Means Resolution (without debate).</li>
<li>Income Tax (Trading and Other Income) Bill: Second Reading (without debate).</li>
<li>followed by Ways and Means Resolution (without debate).</li>
</ul>
Statutory Instrument (Motion for approval) (without debate).<br><br>European Union Document (Motion) (without debate).<br><br>Joint Committee on Tax Law Rewrite Bills (change in membership) (no debate after 10.00 p.m.).<br><br>At the end of the sitting&nbsp;&nbsp;&nbsp; Adjournment debate: Government policy on hydrogen technology (Mr Alistair Carmichael) (until 10.30 p.m. or for half an hour, whichever is later).",,draft,,t,agendaitem
4082,9,417,en,Presentation of Bills,,"<strong>Summary Agenda</strong><br><br>11.30 a.m.&nbsp;&nbsp; &nbsp;<br>Prayers.<br><br>Afterwards&nbsp;&nbsp; &nbsp;<br><br>Oral Questions to the Secretary of State for International Development.<br><br>12 noon&nbsp;&nbsp; &nbsp; Oral Questions to the Prime Minister.<br><br>12.30 p.m.&nbsp;&nbsp;&nbsp; Urgent Questions, Ministerial Statements (if any).<br><br>Afterwards&nbsp;&nbsp; &nbsp;<br><br>Presentation of Bills (without debate).<br><br>Adjournment Debate: European Affairs (may continue until 7.00 p.m.).<br><br>At the end of the sitting&nbsp;&nbsp; &nbsp;<br>Adjournment Debate: Tenant farmers (Mr Huw Edwards) (until 7.30 p.m. or for half an hour, whichever is later).<br>&nbsp;&nbsp;&nbsp;&nbsp;",,draft,,t,agendaitem
