seating_id,parliament_id,person_id,attendance_id
3998,9,1,1
3998,9,2,1
3998,9,5,1
3998,9,14,3
3998,9,15,1
3998,9,25,3
3998,9,61,2
3998,9,62,3
3998,9,69,1
3998,9,72,2
3998,9,73,3
3998,9,74,3
3998,9,75,3
3998,9,96,2
3998,9,97,1
3998,9,98,2
3998,9,103,1
3998,9,124,1
3998,9,125,3
3998,9,129,2
3998,9,130,1
3998,9,138,1
3998,9,139,2
3998,9,149,2
3998,9,150,3
3998,9,151,3
3998,9,158,1
3998,9,164,1
3998,9,166,3
3998,9,167,3
3998,9,168,3
3998,9,174,2
3998,9,175,1
3998,9,176,1
3998,9,243,2
3998,9,244,1
3998,9,245,3
3998,9,247,2
3998,9,248,2
3998,9,249,2
3998,9,257,1
3998,9,258,1
3998,9,261,3
3998,9,262,3
3998,9,263,1
3998,9,264,1
3998,9,265,3
3998,9,266,2
3998,9,267,3
3998,9,268,2
3998,9,269,3
3998,9,270,2
3998,9,283,2
3998,9,284,2
3998,9,285,1
3998,9,286,2
3998,9,287,2
3998,9,288,1
3998,9,289,3
3998,9,290,3
3998,9,291,2
3998,9,292,3
3998,9,303,3
3998,9,304,1
3998,9,305,1
3998,9,306,2
3998,9,307,2
3998,9,308,3
3998,9,309,1
3998,9,310,3
3998,9,314,1
3998,9,315,2
3998,9,316,1
3998,9,317,1
3998,9,318,1
3998,9,320,2
3998,9,321,1
3998,9,325,2
3998,9,327,2
3998,9,328,3
3998,9,329,1
3998,9,330,2
3998,9,336,1
3998,9,337,2
3998,9,338,3
3998,9,339,1
3998,9,340,3
3998,9,341,2
3998,9,342,1
3998,9,343,3
3998,9,344,2
3998,9,345,3
3998,9,352,3
3998,9,353,2
3998,9,355,2
3998,9,359,2
3998,9,360,3
3998,9,361,3
3998,9,363,2
3998,9,365,2
3998,9,367,3
3998,9,368,3
3998,9,369,2
3998,9,374,1
3998,9,391,2
3998,9,392,2
3998,9,393,1
3998,9,394,3
3998,9,395,3
3998,9,396,1
3998,9,397,2
3998,9,398,3
3998,9,399,3
3998,9,400,2
3998,9,401,2
3998,9,403,2
3998,9,404,3
3998,9,405,3
3998,9,406,3
3998,9,407,1
3998,9,408,1
3998,9,409,1
3998,9,410,2
3998,9,411,1
3998,9,412,3
3998,9,413,1
3998,9,415,2
3998,9,416,1
3998,9,417,3
3998,9,422,1
3998,9,424,3
3998,9,425,1
3998,9,427,1
3998,9,428,2
3998,9,429,3
3998,9,430,1
3998,9,431,2
3998,9,432,2
3998,9,433,1
3998,9,434,1
3998,9,435,1
3998,9,436,3
3998,9,437,2
3998,9,438,1
3998,9,439,2
3998,9,441,1
3998,9,442,2
3998,9,443,2
3998,9,444,3
3998,9,445,1
3998,9,446,3
3998,9,447,2
3998,9,448,1
3998,9,450,1
3998,9,451,3
3998,9,452,1
3998,9,453,3
3998,9,456,1
3998,9,459,1
3998,9,460,2
3998,9,461,1
3998,9,462,3
3998,9,464,3
3998,9,465,3
3998,9,466,1
3998,9,467,2
3998,9,468,1
3998,9,469,3
3998,9,470,1
3998,9,472,3
3998,9,473,3
3998,9,474,2
3998,9,475,2
3998,9,476,1
3998,9,477,2
3998,9,478,3
3998,9,479,1
3998,9,480,1
3998,9,481,3
3998,9,483,3
3998,9,484,2
3998,9,485,3
3998,9,486,3
3998,9,487,3
3998,9,488,2
3998,9,489,2
3998,9,490,1
3998,9,491,3
3998,9,492,3
3998,9,493,3
3998,9,494,3
3998,9,495,2
3998,9,496,1
3998,9,497,3
3998,9,498,3
3998,9,499,1
3998,9,500,3
3998,9,501,3
3998,9,502,3
3998,9,503,3
3998,9,504,3
3998,9,505,3
3998,9,506,1
3998,9,507,3
3998,9,508,2
3998,9,509,2
3998,9,510,1
3998,9,511,3
3998,9,512,1
3998,9,513,3
3998,9,514,3
3998,9,516,2
3998,9,517,1
3998,9,518,1
3998,9,519,1
3998,9,520,3
3998,9,521,2
3998,9,522,2
3998,9,523,1
3998,9,524,2
3998,9,525,1
3998,9,526,2
3998,9,527,3
3998,9,528,3
3998,9,529,2
3998,9,530,3
3998,9,531,1
3998,9,533,3
3999,9,1,1
3999,9,2,1
3999,9,5,1
3999,9,14,1
3999,9,15,3
3999,9,25,1
3999,9,61,2
3999,9,62,3
3999,9,69,3
3999,9,72,3
3999,9,73,1
3999,9,74,2
3999,9,75,1
3999,9,96,2
3999,9,97,1
3999,9,98,1
3999,9,103,3
3999,9,124,2
3999,9,125,1
3999,9,129,1
3999,9,130,3
3999,9,138,1
3999,9,139,1
3999,9,149,3
3999,9,150,3
3999,9,151,2
3999,9,158,2
3999,9,164,1
3999,9,166,2
3999,9,167,2
3999,9,168,3
3999,9,174,3
3999,9,175,1
3999,9,176,3
3999,9,243,2
3999,9,244,1
3999,9,245,1
3999,9,247,2
3999,9,248,2
3999,9,249,1
3999,9,257,3
3999,9,258,1
3999,9,261,2
3999,9,262,2
3999,9,263,2
3999,9,264,1
3999,9,265,3
3999,9,266,2
3999,9,267,3
3999,9,268,1
3999,9,269,3
3999,9,270,3
3999,9,283,1
3999,9,284,3
3999,9,285,2
3999,9,286,1
3999,9,287,2
3999,9,288,2
3999,9,289,3
3999,9,290,2
3999,9,291,3
3999,9,292,3
3999,9,303,2
3999,9,304,2
3999,9,305,1
3999,9,306,1
3999,9,307,1
3999,9,308,3
3999,9,309,3
3999,9,310,1
3999,9,314,3
3999,9,315,1
3999,9,316,2
3999,9,317,2
3999,9,318,1
3999,9,320,2
3999,9,321,1
3999,9,325,3
3999,9,327,3
3999,9,328,2
3999,9,329,3
3999,9,330,1
3999,9,336,3
3999,9,337,3
3999,9,338,2
3999,9,339,1
3999,9,340,2
3999,9,341,1
3999,9,342,3
3999,9,343,1
3999,9,344,3
3999,9,345,3
3999,9,352,3
3999,9,353,2
3999,9,355,1
3999,9,359,1
3999,9,360,2
3999,9,361,1
3999,9,363,1
3999,9,365,2
3999,9,367,2
3999,9,368,3
3999,9,369,3
3999,9,374,2
3999,9,391,2
3999,9,392,1
3999,9,393,3
3999,9,394,1
3999,9,395,3
3999,9,396,1
3999,9,397,3
3999,9,398,3
3999,9,399,3
3999,9,400,1
3999,9,401,2
3999,9,403,3
3999,9,404,2
3999,9,405,2
3999,9,406,2
3999,9,407,1
3999,9,408,1
3999,9,409,3
3999,9,410,1
3999,9,411,3
3999,9,412,1
3999,9,413,3
3999,9,415,3
3999,9,416,1
3999,9,417,1
3999,9,422,3
3999,9,424,2
3999,9,425,1
3999,9,427,1
3999,9,428,3
3999,9,429,1
3999,9,430,3
3999,9,431,2
3999,9,432,1
3999,9,433,1
3999,9,434,2
3999,9,435,1
3999,9,436,3
