0,"n.a.",0,0,12/30/99 12:00 AM
1,"Othoyo",2,2,07/11/63 12:00 AM
2,"Wojer Toeth",3,2,07/11/63 12:00 AM
3,"Terkono Toeth",7,4,07/11/63 12:00 AM
4,"Toboteo",4,4,07/11/63 12:00 AM
5,"Wojer North",3,2,07/11/63 12:00 AM
6,"Ketete Choche",6,3,07/11/63 12:00 AM
7,"Khwesero",4,4,07/11/63 12:00 AM
8,"Korocheonyo",6,3,07/11/63 12:00 AM
9,"Fenyelo",4,4,07/11/63 12:00 AM
10,"Rongo",6,3,07/11/63 12:00 AM
11,"Iseolo Toeth",6,3,07/11/63 12:00 AM
12,"Vveto",1,1,07/11/63 12:00 AM
13,"Cemelo",4,4,07/11/63 12:00 AM
14,"Vondero Centrol",3,2,07/11/63 12:00 AM
15,"Keeyo Toeth",7,4,07/11/63 12:00 AM
16,"Corengo North",7,4,07/11/63 12:00 AM
17,"Keresoe",7,4,07/11/63 12:00 AM
18,"Rongoe",7,4,07/11/63 12:00 AM
19,"Keeyo North",7,4,07/11/63 12:00 AM
20,"Aldoe",7,4,07/11/63 12:00 AM
21,"Logdero",3,2,07/11/63 12:00 AM
22,"Kololene",1,1,07/11/63 12:00 AM
23,"Terkono Centrol",7,4,07/11/63 12:00 AM
24,"Vothero",2,2,07/11/63 12:00 AM
25,"Voyole",6,3,07/11/63 12:00 AM
26,"Jejo",2,2,07/11/63 12:00 AM
27,"Ndeo",2,2,07/11/63 12:00 AM
28,"North Horr",6,3,07/11/63 12:00 AM
29,"Westlonds",3,2,07/11/63 12:00 AM
30,"Ijoro",3,2,07/11/63 12:00 AM
31,"Ketee Toeth",6,3,07/11/63 12:00 AM
32,"Vekerweene",2,2,07/11/63 12:00 AM
33,"Thoroko",6,3,07/11/63 12:00 AM
34,"Kotheone",6,3,07/11/63 12:00 AM
35,"Chongwomwe",1,1,07/11/63 12:00 AM
36,"Vbeto",6,3,07/11/63 12:00 AM
37,"Corengo Eost",7,4,07/11/63 12:00 AM
38,"Ttorehe",3,2,07/11/63 12:00 AM
39,"Votheoyo",2,2,07/11/63 12:00 AM
40,"Keregoyo/Ketes",2,2,07/11/63 12:00 AM
41,"Loekepeo West",7,4,07/11/63 12:00 AM
42,"Nokere Town",7,4,07/11/63 12:00 AM
43,"Gechege",2,2,07/11/63 12:00 AM
44,"Keomboo",2,2,07/11/63 12:00 AM
45,"Vwolo",6,3,07/11/63 12:00 AM
46,"Kehore",2,2,07/11/63 12:00 AM
47,"Gotongo",2,2,07/11/63 12:00 AM
48,"Gotende Toeth",2,2,07/11/63 12:00 AM
49,"Celget",7,4,07/11/63 12:00 AM
50,"Wojer West",3,2,07/11/63 12:00 AM
51,"Ikolomone",4,4,07/11/63 12:00 AM
52,"Thenyole",4,4,07/11/63 12:00 AM
53,"Cohore",1,1,07/11/63 12:00 AM
54,"Homese",1,1,07/11/63 12:00 AM
55,"Legore",4,4,07/11/63 12:00 AM
56,"Vokeene",6,3,07/11/63 12:00 AM
57,"Noevosho",7,4,07/11/63 12:00 AM
58,"Vorokwet Eost",7,4,07/11/63 12:00 AM
59,"Yotto",5,3,07/11/63 12:00 AM
60,"Veteto",5,3,07/11/63 12:00 AM
61,"Lore",2,2,07/11/63 12:00 AM
62,"Totek",7,4,07/11/63 12:00 AM
63,"Kepepere",2,2,07/11/63 12:00 AM
64,"Gonze",1,1,07/11/63 12:00 AM
65,"Eldoret Eost",7,4,07/11/63 12:00 AM
66,"Cherongone",7,4,07/11/63 12:00 AM
67,"Kemelele",4,4,07/11/63 12:00 AM
68,"Loekepeo Eost",7,4,07/11/63 12:00 AM
69,"Chepolenge",7,4,07/11/63 12:00 AM
