1001	1028	2001	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1003	1028	2003	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1005	1028	2005	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1007	1028	2007	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1009	1028	2009	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1011	1028	2011	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	\N	archived	\N	motion
1012	1028	2012	f	\N	\N	\N	\N	\N	\N	\N	t	9	20	en	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	2009-04-08	archived	\N	motion
1013	1028	2015	f	\N	\N	\N	\N	\N	\N	\N	f	9	20	fr	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	2009-04-08	draft-translation	\N	motion
1014	1028	2017	f	\N	\N	\N	\N	\N	\N	\N	f	9	20	fr	Operation Fleet	\N	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	2009-04-08	draft-translation	\N	motion
1015	1028	2019	f	\N	\N	\N	\N	\N	\N	\N	f	9	20	sw	Operation Fleet	sfsdgdsgsda<g	That the Parliament welcomes the success of Operation Fleet, by Strathclyde Police, in the Cumbernauld and Kilsyth area; notes the impressive results of Operation Fleet, including five people arrested for posing with offensive weapons on internet sites and encouraging people to join them in violent acts, 16 arrested under warrant and 21 arrested for offences such as carrying an offensive weapon and assault; welcomes the fact that no offences were detected in 228 visits to licensed premises to ensure compliance with licensing laws; notes that the success of Operation Fleet depended on partnership working, using measures between Strathclyde Police, North Lanarkshire Council and local businesses, putting into effect measures introduced in the Local Government in Scotland Act 2003 and Antisocial Behaviour etc. (Scotland) Act 2004, and hopes that the current Scottish Executive continues this commitment to effective community policing by providing forces with the tools that they need to deliver stronger and safer communities.	2009-04-08	draft-translation	\N	motion
