1,16,6,01/23/88 12:00 AM,12/12/91 12:00 AM,"resignation","en"
2,31,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
3,41,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
4,62,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
5,78,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
6,92,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
7,101,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
8,113,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
9,129,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
10,130,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
11,146,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
12,156,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
13,176,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
14,189,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
15,190,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
16,209,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
17,219,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
18,225,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
19,100,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
20,220,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
21,167,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
22,185,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
23,173,6,01/23/88 12:00 AM,10/10/90 12:00 AM,"death","en"
24,93,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
25,54,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
26,52,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
27,170,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
28,40,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
29,202,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
30,174,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
31,121,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
32,195,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
33,221,6,01/23/88 12:00 AM,06/12/92 12:00 AM,"death","en"
34,61,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
35,133,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
36,88,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
37,203,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
38,58,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
39,13,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
40,193,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
41,117,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
42,187,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
43,127,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
44,118,6,01/23/88 12:00 AM,06/16/92 12:00 AM,"death","en"
45,204,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
46,22,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
47,35,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
48,74,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
49,144,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
50,95,6,01/23/88 12:00 AM,11/05/92 12:00 AM,"end mandate","en"
