23,4,01/23/88,10/10/90,"en"
820,4,01/05/03,,"en"
821,4,01/05/03,,"en"
822,4,01/05/03,,"en"
823,4,01/05/03,,"en"
824,4,01/05/03,,"en"
825,4,01/05/03,,"en"
826,4,01/05/03,,"en"
827,4,01/05/03,,"en"
828,4,01/05/03,,"en"
829,4,01/05/03,,"en"
830,4,01/05/03,,"en"
831,4,01/05/03,,"en"
832,4,01/05/03,,"en"
833,4,01/05/03,,"en"
834,4,01/05/03,,"en"
835,4,01/05/03,,"en"
836,4,01/05/03,,"en"
837,4,01/05/03,,"en"
838,4,01/05/03,,"en"
839,4,01/05/03,,"en"
840,4,01/05/03,,"en"
841,4,01/05/03,,"en"
842,4,01/05/03,,"en"
843,4,01/05/03,,"en"
844,4,01/05/03,,"en"
845,4,01/05/03,,"en"
846,4,01/05/03,,"en"
847,4,01/05/03,,"en"
848,4,01/05/03,,"en"
849,4,01/05/03,,"en"
2394,19,01/30/88,06/05/89,"en"
850,4,01/05/03,,"en"
851,4,01/05/03,,"en"
853,4,01/05/03,,"en"
854,4,01/05/03,,"en"
856,4,01/05/03,,"en"
857,4,01/05/03,,"en"
858,4,01/05/03,,"en"
859,4,01/05/03,,"en"
860,4,01/05/03,,"en"
861,4,01/05/03,,"en"
862,4,01/05/03,,"en"
863,4,01/05/03,,"en"
864,4,01/05/03,,"en"
865,4,01/05/03,,"en"
866,4,01/05/03,,"en"
867,4,01/05/03,,"en"
868,4,01/05/03,,"en"
869,4,01/05/03,,"en"
870,4,01/05/03,,"en"
871,4,01/05/03,,"en"
872,4,01/05/03,,"en"
873,4,01/05/03,,"en"
874,4,01/05/03,,"en"
875,4,01/05/03,,"en"
876,4,01/05/03,,"en"
877,4,01/05/03,,"en"
878,4,01/05/03,,"en"
879,4,01/05/03,,"en"
880,4,01/05/03,,"en"
881,4,01/05/03,,"en"
882,4,01/05/03,,"en"
883,4,01/05/03,,"en"
884,4,01/05/03,,"en"
885,4,01/05/03,,"en"
886,4,01/05/03,,"en"
887,4,01/05/03,,"en"
888,4,01/05/03,,"en"
889,4,01/05/03,,"en"
890,4,01/05/03,,"en"
891,4,01/05/03,,"en"
892,4,01/05/03,,"en"
893,4,01/05/03,,"en"
894,4,01/05/03,,"en"
895,4,01/05/03,,"en"
896,4,01/05/03,,"en"
897,4,01/05/03,,"en"
898,4,01/05/03,,"en"
899,4,01/05/03,,"en"
900,4,01/05/03,,"en"
901,4,01/05/03,,"en"
719,4,01/05/03,,"en"
720,4,01/05/03,,"en"
721,4,01/05/03,,"en"
722,4,01/05/03,,"en"
723,4,01/05/03,,"en"
724,4,01/05/03,,"en"
725,4,01/05/03,,"en"
726,4,01/05/03,,"en"
727,4,01/05/03,,"en"
766,4,01/05/03,,"en"
767,4,01/05/03,,"en"
3070,20,01/17/98,11/25/02,"en"
3071,20,01/17/98,11/25/02,"en"
