151,1,17,5,5,"no"
152,1,17,5,5,"no"
165,1,17,5,5,"no"
166,1,17,5,5,"no"
179,1,17,5,5,"no"
180,1,17,5,5,"no"
194,1,17,5,5,"no"
195,1,17,5,5,"no"
153,2,17,5,5,"no"
154,2,17,5,5,"no"
167,2,17,5,5,"no"
168,2,17,5,5,"no"
181,2,17,5,5,"no"
182,2,17,5,5,"no"
196,2,17,5,5,"no"
197,2,17,5,5,"no"
155,3,19,9,9,"yes"
156,3,19,9,9,"yes"
177,3,19,9,9,"yes"
178,3,19,9,9,"yes"
191,3,19,9,9,"yes"
192,3,19,9,9,"yes"
193,3,19,9,9,"yes"
206,3,19,9,9,"yes"
207,3,19,9,9,"yes"
208,3,19,9,9,"yes"
209,3,19,9,9,"yes"
157,4,13,7,7,"yes"
158,4,13,7,7,"yes"
159,4,13,7,7,"yes"
160,4,13,7,7,"yes"
161,4,13,7,7,"yes"
162,4,13,7,7,"yes"
163,4,13,7,7,"yes"
164,4,13,7,7,"yes"
169,4,13,7,7,"yes"
170,4,13,7,7,"yes"
171,4,13,7,7,"yes"
172,4,13,7,7,"yes"
173,4,13,7,7,"yes"
174,4,13,7,7,"yes"
175,4,13,7,7,"yes"
176,4,13,7,7,"yes"
183,4,13,7,7,"yes"
184,4,13,7,7,"yes"
185,4,13,7,7,"yes"
186,4,13,7,7,"yes"
187,4,13,7,7,"yes"
188,4,13,7,7,"yes"
189,4,13,7,7,"yes"
190,4,13,7,7,"yes"
198,4,13,7,7,"yes"
199,4,13,7,7,"yes"
200,4,13,7,7,"yes"
201,4,13,7,7,"yes"
202,4,13,7,7,"yes"
203,4,13,7,7,"yes"
204,4,13,7,7,"yes"
205,4,13,7,7,"yes"
