0,"n.a.",0,0,12/30/99 12:00 AM,"en"
1,"Othoyo",2,2,07/11/63 12:00 AM,"en"
2,"Wojer Toeth",3,2,07/11/63 12:00 AM,"en"
3,"Terkono Toeth",7,4,07/11/63 12:00 AM,"en"
4,"Toboteo",4,4,07/11/63 12:00 AM,"en"
5,"Wojer North",3,2,07/11/63 12:00 AM,"en"
6,"Ketete Choche",6,3,07/11/63 12:00 AM,"en"
7,"Khwesero",4,4,07/11/63 12:00 AM,"en"
8,"Korocheonyo",6,3,07/11/63 12:00 AM,"en"
9,"Fenyelo",4,4,07/11/63 12:00 AM,"en"
10,"Rongo",6,3,07/11/63 12:00 AM,"en"
11,"Iseolo Toeth",6,3,07/11/63 12:00 AM,"en"
12,"Vveto",1,1,07/11/63 12:00 AM,"en"
13,"Cemelo",4,4,07/11/63 12:00 AM,"en"
14,"Vondero Centrol",3,2,07/11/63 12:00 AM,"en"
15,"Keeyo Toeth",7,4,07/11/63 12:00 AM,"en"
16,"Corengo North",7,4,07/11/63 12:00 AM,"en"
17,"Keresoe",7,4,07/11/63 12:00 AM,"en"
18,"Rongoe",7,4,07/11/63 12:00 AM,"en"
19,"Keeyo North",7,4,07/11/63 12:00 AM,"en"
20,"Aldoe",7,4,07/11/63 12:00 AM,"en"
21,"Logdero",3,2,07/11/63 12:00 AM,"en"
22,"Kololene",1,1,07/11/63 12:00 AM,"en"
23,"Terkono Centrol",7,4,07/11/63 12:00 AM,"en"
24,"Vothero",2,2,07/11/63 12:00 AM,"en"
25,"Voyole",6,3,07/11/63 12:00 AM,"en"
26,"Jejo",2,2,07/11/63 12:00 AM,"en"
27,"Ndeo",2,2,07/11/63 12:00 AM,"en"
28,"North Horr",6,3,07/11/63 12:00 AM,"en"
29,"Westlonds",3,2,07/11/63 12:00 AM,"en"
30,"Ijoro",3,2,07/11/63 12:00 AM,"en"
31,"Ketee Toeth",6,3,07/11/63 12:00 AM,"en"
32,"Vekerweene",2,2,07/11/63 12:00 AM,"en"
33,"Thoroko",6,3,07/11/63 12:00 AM,"en"
34,"Kotheone",6,3,07/11/63 12:00 AM,"en"
35,"Chongwomwe",1,1,07/11/63 12:00 AM,"en"
36,"Vbeto",6,3,07/11/63 12:00 AM,"en"
37,"Corengo Eost",7,4,07/11/63 12:00 AM,"en"
38,"Ttorehe",3,2,07/11/63 12:00 AM,"en"
39,"Votheoyo",2,2,07/11/63 12:00 AM,"en"
40,"Keregoyo/Ketes",2,2,07/11/63 12:00 AM,"en"
41,"Loekepeo West",7,4,07/11/63 12:00 AM,"en"
42,"Nokere Town",7,4,07/11/63 12:00 AM,"en"
43,"Gechege",2,2,07/11/63 12:00 AM,"en"
44,"Keomboo",2,2,07/11/63 12:00 AM,"en"
45,"Vwolo",6,3,07/11/63 12:00 AM,"en"
46,"Kehore",2,2,07/11/63 12:00 AM,"en"
47,"Gotongo",2,2,07/11/63 12:00 AM,"en"
48,"Gotende Toeth",2,2,07/11/63 12:00 AM,"en"
49,"Celget",7,4,07/11/63 12:00 AM,"en"
50,"Wojer West",3,2,07/11/63 12:00 AM,"en"
51,"Ikolomone",4,4,07/11/63 12:00 AM,"en"
52,"Thenyole",4,4,07/11/63 12:00 AM,"en"
53,"Cohore",1,1,07/11/63 12:00 AM,"en"
54,"Homese",1,1,07/11/63 12:00 AM,"en"
55,"Legore",4,4,07/11/63 12:00 AM,"en"
56,"Vokeene",6,3,07/11/63 12:00 AM,"en"
57,"Noevosho",7,4,07/11/63 12:00 AM,"en"
58,"Vorokwet Eost",7,4,07/11/63 12:00 AM,"en"
59,"Yotto",5,3,07/11/63 12:00 AM,"en"
60,"Veteto",5,3,07/11/63 12:00 AM,"en"
61,"Lore",2,2,07/11/63 12:00 AM,"en"
62,"Totek",7,4,07/11/63 12:00 AM,"en"
63,"Kepepere",2,2,07/11/63 12:00 AM,"en"
64,"Gonze",1,1,07/11/63 12:00 AM,"en"
65,"Eldoret Eost",7,4,07/11/63 12:00 AM,"en"
66,"Cherongone",7,4,07/11/63 12:00 AM,"en"
67,"Kemelele",4,4,07/11/63 12:00 AM,"en"
68,"Loekepeo Eost",7,4,07/11/63 12:00 AM,"en"
69,"Chepolenge",7,4,07/11/63 12:00 AM,"en"
70,"Konoen",7,4,07/11/63 12:00 AM,"en"
71,"Golole",1,1,07/11/63 12:00 AM,"en"
72,"Vogorene",1,1,07/11/63 12:00 AM,"en"
73,"Webeye",4,4,07/11/63 12:00 AM,"en"
74,"Kelgores",3,2,07/11/63 12:00 AM,"en"
75,"Vogoteo",7,4,07/11/63 12:00 AM,"en"
76,"Eldoret Toeth",7,4,07/11/63 12:00 AM,"en"
77,"Tenderet",7,4,07/11/63 12:00 AM,"en"
78,"Lerombe",4,4,07/11/63 12:00 AM,"en"
79,"Lemere",2,2,07/11/63 12:00 AM,"en"
80,"Iseolo North",5,3,07/11/63 12:00 AM,"en"
81,"Tombere Eost",7,4,07/11/63 12:00 AM,"en"
82,"Tombere West",4,4,07/11/63 12:00 AM,"en"
83,"Vehego",4,4,07/11/63 12:00 AM,"en"
84,"Tete",2,2,07/11/63 12:00 AM,"en"
85,"Kereo",6,3,07/11/63 12:00 AM,"en"
86,"Vwoteto",1,1,07/11/63 12:00 AM,"en"
87,"Toeth Vegerongo",6,3,07/11/63 12:00 AM,"en"
88,"Gethengere",2,2,07/11/63 12:00 AM,"en"
89,"Kesoene",1,1,07/11/63 12:00 AM,"en"
90,"Kongendo",5,3,07/11/63 12:00 AM,"en"
91,"Volende",1,1,07/11/63 12:00 AM,"en"
92,"Nyorebore Vosobo",6,3,07/11/63 12:00 AM,"en"
93,"Cetelo",4,4,07/11/63 12:00 AM,"en"
94,"Cobose",6,3,07/11/63 12:00 AM,"en"
95,"Ntonyere",5,3,07/11/63 12:00 AM,"en"
96,"Emehoyo",4,4,07/11/63 12:00 AM,"en"
97,"North Vegerongo/Corobe",6,3,07/11/63 12:00 AM,"en"
98,"Vosengo",5,3,07/11/63 12:00 AM,"en"
99,"Vorogeo",2,2,07/11/63 12:00 AM,"en"
100,"Voe",1,1,07/11/63 12:00 AM,"en"
101,"Kongemo",2,2,07/11/63 12:00 AM,"en"
102,"Gem",6,3,07/11/63 12:00 AM,"en"
103,"Centrol Imente",5,3,07/11/63 12:00 AM,"en"
104,"Nethe",5,3,07/11/63 12:00 AM,"en"
105,"Dejes",3,2,07/11/63 12:00 AM,"en"
106,"Wojer Eost",3,2,07/11/63 12:00 AM,"en"
107,"Vondero West",3,2,07/11/63 12:00 AM,"en"
108,"Lome Eost",1,1,07/11/63 12:00 AM,"en"
109,"Corengo Centrol",4,4,07/11/63 12:00 AM,"en"
110,"Kopengereo",4,4,07/11/63 12:00 AM,"en"
111,"Ndorogwo",2,2,07/11/63 12:00 AM,"en"
112,"Dogorete",3,2,07/11/63 12:00 AM,"en"
113,"Gotende North",2,2,07/11/63 12:00 AM,"en"
114,"Kobete",2,2,07/11/63 12:00 AM,"en"
115,"Volo",4,4,07/11/63 12:00 AM,"en"
116,"Gorsen",1,1,07/11/63 12:00 AM,"en"
117,"Tegoneo Eost",5,3,07/11/63 12:00 AM,"en"
118,"Vboone",5,3,07/11/63 12:00 AM,"en"
119,"Terkono North",4,4,07/11/63 12:00 AM,"en"
120,"Nyere Town",1,1,07/11/63 12:00 AM,"en"
121,"Ol'koloe",1,1,07/11/63 12:00 AM,"en"
122,"Igembe",5,3,07/11/63 12:00 AM,"en"
123,"Keene",1,1,07/11/63 12:00 AM,"en"
124,"Toeth Imente",3,2,07/11/63 12:00 AM,"en"
125,"Vwenge Toeth",3,2,07/11/63 12:00 AM,"en"
126,"Vwenge North",3,2,07/11/63 12:00 AM,"en"
127,"Kelome",3,2,07/11/63 12:00 AM,"en"
128,"Teokogo",3,2,07/11/63 12:00 AM,"en"
