187,01/15/98,06/12/99,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
154,01/30/88,11/05/92,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
156,01/30/88,11/05/92,"DE","Deforestation Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
157,01/30/88,06/05/89,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
158,06/25/89,06/09/90,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
159,06/15/90,06/15/91,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
160,06/12/91,11/05/92,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
161,01/30/88,06/05/89,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
162,06/25/89,06/09/90,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
163,06/15/90,06/15/91,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
164,06/12/91,11/05/92,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
165,02/10/93,12/03/97,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","committee"
166,02/10/93,12/03/97,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","committee"
167,02/10/93,12/03/97,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
168,02/03/93,12/03/97,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
169,02/09/93,06/05/94,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
170,06/10/94,06/09/95,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
171,06/14/95,06/12/96,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
172,06/17/96,12/03/97,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
173,02/09/93,06/05/94,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
174,06/10/94,06/09/95,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
175,06/14/95,06/12/96,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
176,06/17/96,12/03/97,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
177,02/10/93,12/03/97,"FIE","Foreign Investment Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
178,02/03/93,12/03/97,"GWE","Global Warming Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
179,01/17/98,11/25/02,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","committee"
180,01/30/88,11/25/02,"House Keeping","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","committee"
181,01/17/98,11/25/02,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
188,06/17/99,06/15/00,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
189,06/20/00,06/19/01,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
190,06/24/01,11/25/02,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
192,01/17/98,11/25/02,"EFE","Ethnic Fighting Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
