1001,1011,2001,f,,,,O,O,,,128,9,1,fr,Les commentateurs liste noire,,"Que le chef de la direction de la Corporation SABroadcasting a annoncé
lors de la conclusion de l'enquête sur la prétendue liste noire <br> commentateurs, que l'enquête a montré qu'il est un «cas de
réponse» à la fois par un annonceur (nom fournis) et d'une certaine
actualité MD (nom meublés) et que les deux seraient soumis à
disciplinaryproceedings; dans l'affirmative, (a) quelles mesures ont
été prises à cet égard et <br> (b) ce qui est des résultats dans chaque cas?",,draft-translation,,f,question
1002,1013,2003,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,draft,,t,question
1003,1013,2004,f,,,,P,W,,,136,9,10,fr,Corruption,,"Qu'il indique si M. B. C1. l'ancien directeur des douanes a remis un
document à lui dans le cadre d'un cas présumé de fraude et de
corruption à l'égard de l'importation de whisky par la MBL Distribution
Ltd du Royaume-Uni, et, le cas échéant, indiquer si la question a été
renvoyé à la Commission indépendante de lutte contre la corruption et,
si oui, quand?",,draft-translation,,f,question
1004,1020,2006,t,,,,O,W,,,138,9,64,en,Labour and Wages,,"(1) Whether the general production levels (GDPs) are on par with the general wage levels demanded by the trade union movements; if not, why not; if so, what are the relevant details;<br>(2) whether he will make a statement on the matter?",,draft,,t,question
1005,1013,2007,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,archived,,t,question
1006,1013,2008,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,archived,,t,question
1007,1013,2009,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,archived,,t,question
1008,1013,2010,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,archived,,t,question
1009,1013,2011,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,,,t,question
1010,1013,2012,t,,,,P,W,,,136,9,10,en,Corruption,,"Whether he will state if Mr B. C1. the former Director of Customs had handed over to him a document in connection with an alleged case of fraud and corruption in relation to an importation of whisky by the MBL Distribution Ltd. from the United Kingdom, and, if so, indicate if the matter has been referred to the Independent Commission Against Corruption and, if so, when?",,,,t,question
