31,1,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
32,40,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
33,42,01/23/88 12:00 AM,05/30/89 12:00 AM,"resignation from Parliament","minister","en"
33,65,06/06/89 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
34,51,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
35,67,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
36,70,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
37,77,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
38,92,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
39,95,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
40,157,01/23/88 12:00 AM,02/13/91 12:00 AM,"resignation from Government","minister","en"
40,170,02/17/91 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
41,158,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
42,190,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
43,191,01/23/88 12:00 AM,08/03/90 12:00 AM,"resignation from Government","minister","en"
43,228,08/23/90 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
44,192,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
45,195,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
46,199,01/23/88 12:00 AM,04/24/89 12:00 AM,"death","minister","en"
46,6,04/29/89 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
47,201,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
48,218,01/23/88 12:00 AM,02/03/93 12:00 AM,"end mandate","minister","en"
61,27,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
62,29,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
63,62,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
64,63,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
65,99,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
66,122,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
67,129,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
68,149,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
69,150,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
70,159,02/03/93 12:00 AM,08/10/96 12:00 AM,"death","minister","en"
70,301,08/11/96 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
71,167,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
72,175,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
73,172,02/03/93 12:00 AM,07/29/96 12:00 AM,"death","minister","en"
73,309,07/29/96 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
74,176,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
75,177,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
76,178,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
77,191,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
78,192,02/03/93 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
79,175,02/10/96 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
80,387,02/10/96 12:00 AM,01/09/98 12:00 AM,"end mandate","minister","en"
91,15,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
92,166,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
93,169,01/09/98 12:00 AM,03/05/99 12:00 AM,"death","minister","en"
93,482,03/05/99 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
94,175,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
95,229,01/09/98 12:00 AM,03/09/02 12:00 AM,"resignation from Parliament","minister","en"
95,493,03/09/02 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
96,231,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
97,248,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
98,249,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
99,259,01/09/98 12:00 AM,04/28/00 12:00 AM,"death","minister","en"
99,485,04/28/00 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
100,284,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
101,286,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
103,320,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
104,361,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
105,411,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
106,435,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
107,438,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
108,457,01/09/98 12:00 AM,04/18/02 12:00 AM,"resignation from Parliament","minister","en"
108,486,04/18/02 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
109,458,01/09/98 12:00 AM,08/03/01 12:00 AM,"death","minister","en"
109,490,08/03/01 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
110,480,01/09/98 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
111,481,03/13/00 12:00 AM,01/05/03 12:00 AM,"end mandate","minister","en"
121,168,01/05/03 12:00 AM,,"end mandate","minister","en"
122,423,01/05/03 12:00 AM,07/07/06 12:00 AM,"death","minister","en"
122,527,07/07/06 12:00 AM,,"end mandate","minister","en"
123,268,01/05/03 12:00 AM,08/18/06 12:00 AM,"resignation from Government","minister","en"
123,329,08/28/06 12:00 AM,,"end mandate","minister","en"
124,306,01/05/03 12:00 AM,,"end mandate","minister","en"
125,329,01/05/03 12:00 AM,,"end mandate","minister","en"
126,393,01/05/03 12:00 AM,,"end mandate","minister","en"
127,399,01/05/03 12:00 AM,,"end mandate","minister","en"
128,408,01/05/03 12:00 AM,07/25/05 12:00 AM,"resignation from Government","minister","en"
128,413,07/25/05 12:00 AM,,"end mandate","minister","en"
129,415,01/05/03 12:00 AM,,"end mandate","minister","en"
130,424,01/05/03 12:00 AM,,"end mandate","minister","en"
131,426,01/05/03 12:00 AM,08/18/03 12:00 AM,"death","minister","en"
131,103,08/18/03 12:00 AM,,"end mandate","minister","en"
133,441,01/05/03 12:00 AM,,"end mandate","minister","en"
134,450,01/05/03 12:00 AM,,"end mandate","minister","en"
135,451,01/05/03 12:00 AM,09/14/05 12:00 AM,"resignation from Government","minister","en"
135,500,09/14/05 12:00 AM,,"end mandate","minister","en"
136,486,01/05/03 12:00 AM,,"end mandate","minister","en"
137,501,01/05/03 12:00 AM,,"end mandate","minister","en"
138,509,01/05/03 12:00 AM,,"end mandate","minister","en"
139,517,01/05/03 12:00 AM,,"end mandate","minister","en"
140,521,01/05/03 12:00 AM,,"end mandate","minister","en"
141,522,01/05/03 12:00 AM,,"end mandate","minister","en"
142,424,06/27/05 12:00 AM,,"end mandate","minister","en"
